Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Nie et al., 2019",Surface,100.63,33.27,3737,845.3,0.41,81.20076849,7.17,35.23,43.8,21.03,NA,310.6,0.8179,NA,11.33718,0.8967
"Nie et al., 2019",Surface,102.24,35.42,3455,749.9,0.03,74.76570289,7.5,33.53,50.37,16.1,NA,472.3,0.817,NA,12.05565,0.68364
"Nie et al., 2019",Surface,102.23,35.41,3495,759.4,-0.23,77.72773797,7.3,31.27,51.93,16.8,NA,472.8,0.817,NA,9.69194,0.45895
"Nie et al., 2019",Surface,102.25,35.53,3220,701.4,1.88,59.04040404,6.57,36.4,44.97,18.63,NA,382.6,0.7517,NA,17.23623,0.78055
"Nie et al., 2019",Surface,102.25,35.41,3570,769.3,-0.84,83.98471616,7.43,34.4,47.43,18.2,NA,404.6,0.7778,NA,14.09875,0.6018
"Nie et al., 2019",Surface,101.85,35.23,3503,763.8,0.4,73.44230769,7.4,33.07,47.47,19.47,NA,311.4,0.7445,NA,11.10948,0.78624
"Nie et al., 2019",Surface,101.41,37.38,3389,659,-2.4,86.71052632,7.57,38.87,40,21.13,NA,288.1,0.7432,NA,20.48925,0.85644
"Nie et al., 2019",Surface,100.35,38.09,2975,519,-2.51,69.29238985,7.77,41.2,39.77,19.03,NA,312.3,0.7471,NA,17.81052,0.58752
"Nie et al., 2019",Surface,100.24,38.06,3681,559,-5.59,126.7573696,7.67,42.77,39.47,17.8,NA,246.3,0.5524,NA,4.55733,0.62685
"Nie et al., 2019",Surface,96.86,33.04,4203,616.6,-1.63,73.66786141,7.27,38,43.1,18.87,NA,282.2,0.779,NA,10.03119,0.7735
"Nie et al., 2019",Surface,96.84,33.03,4496,646.5,-3.62,101.3322884,7.2,42.77,39.47,17.73,NA,293.6,0.7894,NA,18.33412,0.89856
"Nie et al., 2019",Surface,96.85,33.05,4263,613.9,-1.23,70,7.2,39.7,42.73,17.6,NA,269,0.779,NA,5.29853,0.77007
"Nie et al., 2019",Surface,96.85,33.04,4132,603.3,-0.93,66.51598677,7.27,40.1,43.03,16.83,NA,268.6,0.779,NA,13.04736,0.7696
"Nie et al., 2019",Surface,96.58,31.88,4081,603.5,1.27,53.54924579,6.4,34.53,47.53,17.93,NA,270.2,0.6917,NA,16.57962,1.2558
"Nie et al., 2019",Surface,96.89,31.88,4435,637,-0.93,70.23153252,6.4,38.43,45.37,16.2,NA,334.1,0.7044,NA,11.46643,0.8502
"Nie et al., 2019",Surface,95.3,32.89,4208,558.9,0.99,50.85532302,7.33,40.6,42.93,16.47,NA,175.8,0.6097,NA,6.50349,0.78605
"Nie et al., 2019",Surface,97.12,33.33,4137,601.2,-0.51,63.35089568,7.2,41.03,42.03,16.93,NA,246.6,0.7414,NA,16.80976,1.08402
"Nie et al., 2019",Surface,97.12,33.32,4417,623.4,-1.82,76.21026895,7.1,40.33,43.27,16.43,NA,255.2,0.7414,NA,12.93491,0.84042
"Nie et al., 2019",Surface,96.99,33.36,3660,545.3,3.38,40.754858,7.3,42.63,40.67,16.73,NA,177.3,0.6772,NA,3.55878,0.75952
"Nie et al., 2019",Surface,99.52,37.13,3245,403.7,0.33,39.0803485,8.33,40.03,44.33,15.6,NA,185.4,0.596,NA,0.34025,0.32364
"Nie et al., 2019",Surface,99.16,37.17,3559,397.4,-0.95,43.91160221,8,44.37,37.93,17.67,NA,328.4,0.6696,NA,15.83112,0.62444
"Nie et al., 2019",Surface,99.32,37.53,3540,454.1,-3.93,74.81054366,7.7,41.17,43.17,15.67,NA,283,0.6933,NA,17.15643,0.72957
"Nie et al., 2019",Surface,99.33,37.53,3673,462.5,-4.34,81.71378092,7.8,41.73,42.6,15.63,NA,261.7,0.6933,NA,11.9443,0.77775
"Nie et al., 2019",Surface,99.33,37.37,3412,418.7,-0.36,43.43360996,8.07,38.33,43.93,17.73,NA,244.5,0.655,NA,2.36188,0.99693
"Nie et al., 2019",Surface,97.26,37.45,3475,286.7,-0.25,29.40512821,7.9,46.17,36.73,17.1,NA,174.4,0.2582,NA,1.56518,0.24585
"Nie et al., 2019",Surface,101.57,36.37,3537,706.2,-0.91,77.68976898,7.87,34.23,47.27,18.5,NA,378.1,0.7568,NA,17.95882,0.80379
"Nie et al., 2019",Surface,102.24,36.28,2965,638.7,1.72,54.49658703,8.17,25.1,51,23.83,NA,510.1,0.7708,NA,17.26284,1.06752
"Nie et al., 2019",Surface,101.96,36.27,3172,671.5,1.08,60.60469314,7.8,35.03,46.73,18.23,NA,477.7,0.7694,NA,16.58039,1.37138
"Nie et al., 2019",Surface,102.13,37,3147,638.2,-0.92,70.28634361,7.97,28.7,47.4,23.93,NA,399.5,0.7428,NA,26.00525,0.77868
"Nie et al., 2019",Surface,101.43,37.29,3227,685.5,-1.33,79.06574394,7.73,35.47,42.23,22.3,NA,344.8,0.8064,NA,16.83842,1.18215
"Nie et al., 2019",Surface,100.65,36.13,2869,515.7,5.09,34.1749503,8.17,36.87,43.3,19.77,NA,175.6,0.3087,NA,2.39995,1.0131
"Nie et al., 2019",Surface,100.74,35.47,3596,630.6,0.25,61.52195122,7.63,29.23,48.67,22.1,NA,392.2,0.7181,NA,21.8908,1.2596
"Nie et al., 2019",Surface,101.55,36.38,3153,669.2,0.35,64.65700483,7.97,28.93,50.83,20.17,NA,429,0.7568,NA,27.04971,0.867
"Nie et al., 2019",Surface,98.52,36.9,2951,290.5,3.2,22.00757576,8.3,44.57,37.5,17.93,NA,123.8,0.2476,NA,3.19722,0.39396
"Nie et al., 2019",Surface,98.2,36.99,2965,280.1,4.11,19.85116938,8.33,49.93,33.17,16.9,NA,56.3,0.247,NA,2.54215,0.29808
"Nie et al., 2019",Surface,97.63,37.05,2913,241.2,4.56,16.56593407,8.37,46.9,38.13,15,NA,32.4,0.1151,NA,0.79488,0.4186
"Nie et al., 2019",Surface,94.98,36.55,2740,48.4,5.38,3.146944083,8.4,53.17,31.23,15.57,NA,52.1,0.2242,NA,2.38274,0.22338
"Nie et al., 2019",Surface,98.39,36.45,3398,307.6,0.29,29.8931001,8.07,47.63,32.27,20.1,NA,44.1,0.1798,NA,2.54185,0.41182
"Nie et al., 2019",Surface,96.25,36.49,2717,68.9,5.76,4.371827411,8.4,49.47,34.4,16.17,NA,42.4,0.1705,NA,2.25566,0.088
"Nie et al., 2019",Surface,98.57,36.86,2971,293.6,3.75,21.35272727,8.03,44.5,39.3,16.23,NA,33.8,0.123,NA,0.21191,0.52324
"Nie et al., 2019",Surface,98.54,36.87,2957,284.9,3.33,21.37284321,8.17,46.33,36.03,17.63,NA,56.4,0.2476,NA,0.2771,0.46228
"Nie et al., 2019",Surface,97.12,37.35,2917,202.3,4.47,13.98064962,8.43,47.93,37.77,14.27,NA,88.3,0.4241,NA,1.06358,0.21805
"Nie et al., 2019",Surface,97.86,37.04,2986,251.3,3.83,18.17064353,8.37,47.33,37.5,15.17,NA,40.2,0.1585,NA,1.4711,0.52822
"Nie et al., 2019",Surface,97.41,37.26,2896,224.2,4.23,15.75544624,8.37,46.07,36.3,17.67,NA,41.2,0.1636,NA,0.2177,0.21631
"Nie et al., 2019",Surface,97.51,37.22,2866,238.9,4.55,16.41924399,8.27,50.13,35.47,14.37,NA,57,0.251,NA,3.11048,0.52364
"Nie et al., 2019",Surface,94.53,35.88,3580,112.5,0.96,10.26459854,8.17,47.1,34.03,18.87,NA,37.7,0.1444,NA,1.72913,0.6426
"Nie et al., 2019",Surface,94.51,35.88,3595,114.2,0.73,10.64305685,8,46,35.17,18.8,NA,37.7,0.1444,NA,0.5624,0.77571
"Nie et al., 2019",Surface,97.41,36,3103,200.9,4.69,13.67597005,8.27,45.67,37.73,16.6,NA,46.8,0.1947,NA,1.47574,0.4284
"Nie et al., 2019",Surface,94.55,35.88,3565,111,0.98,10.10928962,8.17,50.03,33.57,16.4,NA,33.5,0.1214,NA,0.21704,0.2674
"Nie et al., 2019",Surface,98.67,36.41,3659,351.9,-2.83,49.07949791,7.9,46.43,34.43,19.13,NA,66.6,0.1768,NA,3.56451,0.7502
"Nie et al., 2019",Surface,98.73,36.39,3808,504.1,-3.67,79.63665087,8,41.73,41.6,16.6,NA,55.1,0.2039,NA,2.07769,0.41886
"Sun et al., 2020",Middle,80.84,31.17,4548.95,112.39,0.79,10.41612604,7.5,60,27.9,12.05,21.59,60.8,0.214,12,2.8883855,0.37323
"Sun et al., 2020",Middle,81.98,32.07,4597.22,134.67,0.52,12.8013308,8.4,51.55,32.65,15.8,26.79,53.7,0.1308,5.5,9.725625,0.55328
"Sun et al., 2020",Middle,83.11,30.19,4582.93,217.96,0.75,20.27534884,8,73.6,16.75,9.65,19.58,57.2,0.1408,9,10.41414063,0.56434
"Sun et al., 2020",Middle,86.28,28.8,4420.09,335.85,2.68,26.48659306,7.7,48.25,34.2,17.5,60.45,54.3,0.2004,11.76,23.370665,0.82824
"Sun et al., 2020",Middle,88.52,31.78,4548.09,372.56,1.14,33.44344704,8.2,53.65,31.35,15.1,28.74,84.8,0.1847,9.6,16.93953,0.56376
"Sun et al., 2020",Middle,90.36,28.9,4542.88,355.52,3.36,26.61077844,7.45,52.2,36.15,11.7,80.18,129,0.3464,53.33,17.6051575,1.14342
"Sun et al., 2020",Middle,91.59,29.79,3930,476.53,6.45,28.96838906,7.4,49.45,33.05,17.5,116.67,322.7,0.6988,79.98,2.21832,0.32864
"Sun et al., 2020",Middle,94.73,29.68,3454.3,581.4,6.2,35.88888889,6.05,50.75,35.2,14,108.7,299.3,0.8204,90.5,17.582645,0.88786
"Yang et al., 2008",Middle,100.79,36.49,3255,397.2,0.96,36.24087591,8.25,38.55,40.95,20.5,267.4,254.5,0.5808,NA,17.27,1.113
"Yang et al., 2008",Middle,100.07,35.47,3225,382.1,0.96,34.86313869,8.25,38.3,36.85,24.85,81.8,172.2,0.3632,NA,10.51,0.8975
"Yang et al., 2008",Middle,101.02,36.87,3016,350.9,0.89,32.22222222,8.15,37.05,40.25,22.7,119.9,217.9,0.4505,NA,15.12,1.0615
"Yang et al., 2008",Middle,100.92,36.98,3071,349.6,0.83,32.28070175,8.2,43.35,37,19.6,188,329.4,0.5059,NA,15.75,1.014
"Yang et al., 2008",Middle,98.38,37.28,3468,289.5,0.7,27.05607477,8,49,30.4,20.6,32,144.2,0.3984,NA,11.47,0.781
"Yang et al., 2008",Middle,98.93,36.95,3670,307.4,0.64,28.89097744,8.2,43.6,38.25,18.15,104.1,213,0.3427,NA,17.23,0.782
"Yang et al., 2008",Middle,99.31,36.7,3177,318.2,0.64,29.90601504,8.3,38.9,41.35,19.75,182.9,77,0.2725,NA,2.15,0.5695
"Yang et al., 2008",Middle,99.58,37.14,3247,322.5,0.36,31.12934363,8.45,37.75,50.8,11.45,125.2,254.4,0.5184,NA,13.64,0.591
"Yang et al., 2008",Middle,93.87,35.51,4601,291.3,-2.07,36.73392182,7.85,46.2,35.3,18.5,58.3,26.8,0.1223,NA,1.49,0.8995
"Yang et al., 2008",Middle,93.87,35.51,4601,291.3,-2.07,36.73392182,7.85,46.2,35.3,18.5,37.6,26.8,0.1223,NA,2.53,0.8995
"Yang et al., 2008",Middle,92.95,34.94,4557,320.5,-3.09,46.38205499,7.65,45.35,35.35,19.3,135.1,29.4,0.1503,NA,4.07,0.7175
"Yang et al., 2008",Middle,92.62,34.38,4625,332.6,-2.81,46.25869263,8.1,49.85,35.6,14.55,152.2,44.8,0.2417,NA,3.34,0.9725
"Yang et al., 2008",Middle,92.45,34.21,4535,332.4,-2.83,46.35983264,8.2,48.95,31.8,19.25,59.5,41.1,0.1444,NA,2.01,0.623
"Yang et al., 2008",Middle,92.36,33.95,4622,346.2,-2.59,46.72064777,8.2,51.15,33.6,15.25,80.5,48.6,0.2276,NA,6.24,0.69
"Yang et al., 2008",Middle,92.09,33.75,4675,350.2,-2.46,46.44562334,7.85,47.4,36.5,16.1,96.6,56.2,0.3549,NA,4.35,1.3
"Yang et al., 2008",Middle,92.76,34.6,4700,325.8,-2.97,46.34423898,7.95,47.85,35.4,16.75,73,37,0.1973,NA,3.41,0.835
"Yang et al., 2008",Middle,91.07,31.5,4598,404.9,0.39,38.97016362,7.85,58,26.45,15.55,57.3,71.5,0.2357,NA,3.17,0.6865
"Yang et al., 2008",Middle,91.67,31.5,4674,437.5,0.38,42.14836224,7.45,61.2,21.7,17.2,19.5,154.9,0.5591,NA,2.94,1.416
"Yang et al., 2008",Middle,90.42,31.41,4655,358.8,0.37,34.59980714,7.75,66,21.1,12.85,34.6,69.4,0.2158,NA,4.23,0.7875
"Yang et al., 2008",Middle,90.11,31.4,4742,331.7,0.33,32.11035818,7.6,53.65,31.45,14.9,36.9,121.2,0.4379,NA,4.81,1.041
"Yang et al., 2008",Middle,89.31,31.97,4575,293.5,-0.32,30.32024793,8.15,55.8,25.15,19.05,14.9,66,0.1632,NA,4.14,0.688
"Yang et al., 2008",Middle,89.99,31.12,4596,329.1,1.08,29.70216606,7.45,59.15,25.15,15.7,36.1,84,0.3486,NA,4.61,1.164
"Yang et al., 2008",Middle,88.69,32.16,4588,278.6,-0.55,29.48148148,8.1,55,28.75,16.25,37.2,77.8,0.199,NA,2.91,0.7575
"Yang et al., 2008",Middle,88.33,32.09,4601,277.5,-0.22,28.37423313,8.4,55.15,26.65,18.25,20.1,135.9,0.181,NA,1.44,0.604
"Yang et al., 2008",Middle,87.21,31.87,4540,265.8,0.39,25.58229066,8,48.45,31.7,19.75,15.1,44.6,0.0808,NA,1.21,0.607
"Yang et al., 2008",Middle,87.25,31.79,4523,267.6,0.52,25.43726236,8.45,49.3,31.5,19.15,14.5,60.3,0.1647,NA,1.95,0.62
"Yang et al., 2008",Middle,86.57,31.93,4665,254.1,0.64,23.88157895,8.65,48.85,30.8,20.35,25.3,56.7,0.1957,NA,2.12,0.6135
"Yang et al., 2008",Middle,85.99,32.08,4661,245.9,0.59,23.22001889,8.85,48.5,31.7,19.8,23.2,43.2,0.1645,NA,4.41,0.597
"Yang et al., 2008",Middle,85.3,32.19,4560,232.1,0.51,22.08372978,8.6,52.6,29.2,18.3,52.1,51.9,0.178,NA,3.08,0.565
"Yang et al., 2008",Middle,84.94,31.91,4785,228.7,0.67,21.4339269,8.4,58.05,27.75,14.2,41.5,45.9,0.1716,NA,5.86,0.733
"Yang et al., 2008",Middle,85.15,31.03,4703,259.3,1.67,22.2193659,8.65,61,24.25,14.75,19.6,61.2,0.1513,NA,3.82,1.1435
"Yang et al., 2008",Middle,85.77,29.81,5168,315.9,2.96,24.375,8,61.4,25.1,13.55,40.5,36.5,0.2451,NA,1.16,1.122
"Yang et al., 2008",Middle,100.89,36.32,3277,472.9,1.18,42.29874776,8.15,34.9,44.45,20.6,126.9,261.9,0.4873,NA,11.39,0.974
"Yang et al., 2008",Middle,100.46,36.12,2934,434.9,1.13,39.07457323,8.2,35.1,43.6,21.3,36.3,167.4,0.2253,NA,3.68,0.8925
"Yang et al., 2008",Middle,100.39,36.09,2990,426.4,1.16,38.2078853,8.25,34.8,40.65,24.55,70.7,117,0.2305,NA,4.8,1.007
"Yang et al., 2008",Middle,100.22,36,3078,415.6,1.1,37.44144144,8.1,40.8,32.3,26.95,73.5,152.2,0.3525,NA,12.45,1.051
"Yang et al., 2008",Middle,100.07,35.93,3231,397.5,1.13,35.71428571,8.05,42.8,25.25,31.95,121.6,211.3,0.5149,NA,14.91,1.01
"Yang et al., 2008",Middle,100.23,35.76,3184,423.2,1.2,37.78571429,8.1,39.7,37.1,23.2,78.9,221.8,0.5078,NA,13.48,1.0105
"Yang et al., 2008",Middle,100.78,35.59,3253,488.8,1.23,43.52626892,7.95,31.7,46,22.35,70.1,296.8,0.5751,NA,7.1,1.1035
"Yang et al., 2008",Middle,100.93,35.35,3253,521.3,1.27,46.2555457,7.75,31.3,47.6,21.1,82,290.2,0.6205,NA,9.93,1.268
"Yang et al., 2008",Middle,99.18,35.36,4158,367.2,0.67,34.41424555,8.15,38.35,39.6,22.05,47.6,59,0.2587,NA,3.82,0.965
"Yang et al., 2008",Middle,99.39,35.43,4002,371.6,0.84,34.2804428,7.9,37.15,44.35,18.55,60.8,123.1,0.4604,NA,6.17,1.0835
"Yang et al., 2008",Middle,99.48,35.44,4089,380.2,0.87,34.97700092,8.15,35.6,44.55,19.85,57.4,122.2,0.5204,NA,8.78,1.175
"Yang et al., 2008",Middle,98.58,34.99,4297,371.1,-0.12,37.56072874,8,44.3,36.05,19.65,56.5,68.2,0.315,NA,7.07,1.3875
"Yang et al., 2008",Middle,98.45,34.85,4219,375.3,-0.28,38.61111111,8,45.2,36.15,18.65,64.5,75,0.3984,NA,6.77,1.2165
"Yang et al., 2008",Middle,98.25,34.88,4229,363.9,-0.53,38.42661035,8.1,47.9,34.9,17.2,54.6,67,0.2616,NA,3.86,1.075
"Yang et al., 2008",Middle,98.21,34.9,4254,352.6,-0.5,37.11578947,8.05,45.5,38.25,16.3,62.7,65.8,0.2511,NA,3.35,1.0845
"Yang et al., 2008",Middle,98.14,34.93,4219,349.2,-0.52,36.83544304,8.1,48.9,33.75,17.35,62.2,63,0.2527,NA,3.58,1.042
"Yang et al., 2008",Middle,98.07,35.01,4236,336.8,-0.39,35.04682622,8.1,47.4,33.7,18.9,57.5,50.3,0.2154,NA,1.86,1.2875
"Yang et al., 2008",Middle,95.8,34.14,4226,418,-0.38,43.45114345,7.95,44.6,36.45,18.95,56.5,118,0.4837,NA,7.79,1.15
"Yang et al., 2008",Middle,92.4,34.17,4596,344.8,-2.5,45.97333333,8.1,53.05,28.9,18.05,96.5,62.3,0.3077,NA,3.73,0.844
"Yang et al., 2008",Middle,93.1,35.25,4634,277.4,-2.98,39.51566952,7.85,46.4,35.25,18.35,20.1,30.4,0.1769,NA,1.33,0.902
"Yang et al., 2008",Middle,93.37,35.36,4536,275.9,-2.58,37.18328841,7.85,43.1,34.2,22.65,42.8,37.6,0.195,NA,2.93,1.024
"Yang et al., 2008",Middle,93.65,35.49,4506,274.8,-2.2,35.23076923,8,46.05,36.15,17.8,38.8,31.4,0.1241,NA,2.51,0.695
"Yang et al., 2008",Middle,94.3,35.75,4144,259.7,-1.24,29.64611872,7.9,45.05,36.35,18.6,17.7,67.6,0.2276,NA,0.39,0.9895
"Yang et al., 2008",Middle,80.75,32.52,4442,103.4,2.19,8.482362592,8,57.5,29.85,12.65,15.3,25.1,0.1179,NA,0.9,0.8145
"Yang et al., 2008",Middle,81.18,32.35,4528,119.6,2.3,9.723577236,8.45,51.15,35.7,13.15,28.5,26.3,0.1211,NA,2.32,0.517
"Yang et al., 2008",Middle,81.35,32.18,4647,132.3,2.47,10.60946271,7.9,50.4,33.65,15.9,14.2,36.6,0.1477,NA,1.59,0.6045
"Yang et al., 2008",Middle,81.67,32.18,4891,139.4,2.48,11.16987179,8.05,46.25,34.1,19.6,13.3,42.4,0.1626,NA,4.43,0.637
"Yang et al., 2008",Middle,82.42,32.32,4642,166.8,2.14,13.73970346,8.2,57.5,28.2,14.3,14.3,50.3,0.1914,NA,3.64,0.54
"Yang et al., 2008",Middle,82.55,32.53,4388,166.8,1.99,13.91159299,8.3,54.95,30.6,14.45,17.9,23,0.1125,NA,2.63,0.5655
"Yang et al., 2008",Middle,82.85,32.52,4418,178.4,1.9,14.99159664,8.5,54.8,30.1,15.1,9.8,19.6,0.1039,NA,3.89,0.5725
"Yang et al., 2008",Middle,83.97,32.3,4414,225.8,1.6,19.46551724,8.5,47.4,31.2,21.4,13.4,27.8,0.125,NA,2.88,0.472
"Yang et al., 2008",Middle,83.47,32.37,4537,206.5,1.8,17.5,8.4,48.2,32.2,19.55,12.7,52.6,0.1647,NA,5.56,0.6015
"Yang et al., 2008",Middle,83.3,32.42,4491,199,1.81,16.85012701,8.6,50.2,31.75,18,11.9,48.8,0.1941,NA,3.81,0.5895
"Yang et al., 2008",Middle,84.1,32.33,4445,229.6,1.56,19.8615917,8.5,46.1,32.65,21.25,19.8,31.1,0.1335,NA,4.53,0.6625
"Yang et al., 2008",Middle,84.17,32.4,4489,229.4,1.51,19.93049522,8.55,47.9,33.3,18.85,50.8,44,0.1572,NA,1.82,0.4395
"Yang et al., 2008",Middle,84.17,32.4,4483,229.4,1.51,19.93049522,8.55,47.9,33.3,18.85,54.3,44,0.1572,NA,4.58,0.4395
"Yang et al., 2008",Middle,84.27,32.55,4622,230.4,1.42,20.17513135,8.6,38.65,40.1,21.25,25.3,44.3,0.1505,NA,5.4,0.5045
"Yang et al., 2008",Middle,84.25,32.65,4643,227.9,1.38,20.02636204,8.6,39.75,35.65,24.55,19.1,44.7,0.1491,NA,4.89,0.594
"Yang et al., 2008",Middle,84.2,32.8,4681,219.4,1.31,19.39876216,8.5,43.9,37.85,18.3,17,47,0.1391,NA,2.6,0.618
"Yang et al., 2008",Middle,84.05,32.95,4731,215,1.32,18.99293286,8.5,43.25,36.65,20.1,26.7,23.9,0.117,NA,2.88,0.634
"Yang et al., 2008",Middle,83.98,32.17,4794,231.4,1.78,19.6434635,8.45,51.85,32.65,15.5,37.7,40.9,0.1588,NA,3.86,0.6385
"Yang et al., 2008",Middle,84,32.2,4608,232,1.62,19.96557659,8.6,56.6,26.3,17.1,15.9,53.9,0.1923,NA,2.82,0.5275
"Yang et al., 2008",Middle,84.12,32.28,4441,235.9,1.58,20.37132988,8.5,49.1,32.3,18.6,13.4,42.5,0.1212,NA,2.89,0.4715
"Yang et al., 2008",Middle,84.57,32.2,4504,250,1.41,21.91060473,8.6,55.9,28.85,15.25,17.7,44.2,0.1315,NA,3.75,0.579
"Yang et al., 2008",Middle,85.03,32.17,4442,269.6,1.35,23.75330396,8.5,56.8,26.65,16.55,13.1,28.4,0.1265,NA,3.39,0.5195
"Yang et al., 2008",Middle,87.87,31.88,4550,362.1,0.56,34.28977273,8.4,49.8,32.2,17.95,18.9,58.6,0.1489,NA,3.74,0.6915
"Yang et al., 2008",Middle,101.31,37.61,3192,423.7,0.78,39.30426716,7.8,40.4,37.65,21.95,347.5,339.5,0.7587,NA,23.41,1.6675
"Yang et al., 2008",Middle,101.24,37.61,3204,417.6,0.73,38.91891892,7.9,40.9,39,20.1,149.8,325.8,0.6985,NA,10.06,1.4835
"Yang et al., 2008",Middle,101.31,37.64,3315,423.7,0.78,39.30426716,7.85,39.95,36.7,23.3,212.2,322.2,0.7587,NA,31.45,1.511
"Yang et al., 2008",Middle,101.03,37.02,3179,351.2,0.83,32.42843952,8,37.6,41.9,20.5,186.3,392.2,0.6963,NA,30.46,1.262
"Yang et al., 2008",Middle,100.11,37.42,3390,335.5,0.23,32.79569892,8.05,39.3,40.2,20.5,116.2,275.5,0.7516,NA,12.36,1.362
"Yang et al., 2008",Middle,94.28,35.71,4380,277.3,-1.56,32.85545024,7.7,46.55,33.9,19.55,164.8,63.4,0.2138,NA,8.23,0.9255
"Yang et al., 2008",Middle,93.32,35.33,4556,307.9,-2.79,42.70457698,7.8,45.7,33.4,20.95,54.6,35.2,0.1568,NA,3.51,1.1585
"Yang et al., 2008",Middle,92.36,33.95,4616,346.2,-2.59,46.72064777,8.2,51.15,33.6,15.25,59.9,48.6,0.2276,NA,1.32,0.69
"Yang et al., 2008",Middle,91.87,33.32,4867,361.4,-2.15,46.03821656,7.7,53.3,31.05,15.7,146.8,43.7,0.228,NA,6,1.602
"Yang et al., 2008",Middle,91.68,32.19,4628,405.9,-0.94,44.8013245,7.75,67.15,18.8,14.05,189.8,72,0.4854,NA,4.69,1.275
"Yang et al., 2008",Middle,92.9,34.79,4682,325.2,-2.96,46.19318182,7.95,46.35,36.1,17.6,117.2,86.5,0.4539,NA,8.32,1.0545
"Yang et al., 2008",Middle,91.86,31.58,4594,441.7,0.13,43.60315893,7.45,60.15,22.7,17.15,111.1,189,0.5918,NA,4.75,1.5015
"Yang et al., 2008",Middle,91.33,31.51,4663,417.8,0.18,41.04125737,7.5,56.45,28.1,15.4,80.5,211,0.432,NA,4.46,1.2625
"Yang et al., 2008",Middle,90.01,31.43,4741,323.8,0.31,31.40640155,7.75,57.75,23.6,18.65,33.8,71.4,0.2896,NA,3.32,0.747
"Yang et al., 2008",Middle,85.32,30.38,5004,288.6,2.4,23.27419355,7.95,60.25,25.4,14.3,61.5,64.9,0.2494,NA,3.63,1.226
"Yang et al., 2008",Middle,86.73,29.41,4603,327.5,3.85,23.64620939,8.2,54.05,29.1,16.9,31.8,131,0.4364,NA,6.52,0.8305
"Yang et al., 2008",Middle,87.21,29.25,4546,324.5,4.43,22.48787249,8,50.65,32.7,16.65,15.8,69,0.3646,NA,8.12,0.863
"Yang et al., 2008",Middle,90.62,30.2,4583,413.5,3.87,29.81254506,7.15,54.2,31,14.8,90,204.6,0.5047,NA,5.12,0.942
"Yang et al., 2008",Middle,91.06,30.45,4302,453.6,3.12,34.57317073,7.25,49.55,34.5,15.95,162.8,211.7,0.5936,NA,5.79,1.2115
"Yang et al., 2008",Middle,91.54,30.62,4550,471.6,2.5,37.728,7.2,57.9,25.75,16.35,145.3,201.9,0.5815,NA,7.28,1.6535
"Yang et al., 2008",Middle,91.69,31.07,4720,459,1.34,40.47619048,7.5,62.5,20.7,16.75,79.4,97.9,0.4797,NA,6.3,1.315
"Yang et al., 2008",Middle,100.49,35.57,3304,456.3,1.24,40.59608541,7.9,30.8,47.75,21.4,92.7,360.6,0.7377,NA,23.63,1.077
"Yang et al., 2008",Middle,100.77,35.08,3565,524.9,1.29,46.49247121,8.05,33.4,45.15,21.45,140.9,365.3,0.7738,NA,32.01,1.357
"Yang et al., 2008",Middle,100.82,34.86,3650,551.1,1.33,48.6407767,7.5,35.4,44.9,19.7,242.7,331,0.7347,NA,29.93,1.2935
"Yang et al., 2008",Middle,100.22,34.53,3717,526.8,1.22,46.95187166,7.75,34.55,46.55,18.85,151.3,236.2,0.7581,NA,34.64,1.2745
"Yang et al., 2008",Middle,97.14,33.82,4443,485.2,-0.48,50.96638655,7.4,42.25,38.35,19.45,43.9,159.8,0.6575,NA,16.24,1.614
"Yang et al., 2008",Middle,97.02,33.76,4589,495.9,-0.21,50.65372829,7.05,42.5,37.15,20.3,139.4,142.7,0.5911,NA,14.47,1.7445
"Yang et al., 2008",Middle,96.73,33.81,4142,475.2,-0.11,48.04853387,7.6,41.45,40.5,18.1,65.3,149.5,0.6408,NA,12.53,1.549
"Yang et al., 2008",Middle,96.37,33.97,4229,456.2,-0.11,46.12740142,7.7,39.95,38.9,21.15,172.2,140.8,0.6241,NA,10.6,1.7305
"Yang et al., 2008",Middle,96.2,34.1,4363,427.2,-0.3,44.04123711,7.9,43.8,37.45,18.75,109.3,137.4,0.607,NA,9.11,1.4355
"Yang et al., 2008",Middle,95.7,33.95,4161,448.8,-0.2,45.79591837,7.95,44.2,37.25,18.55,189.5,136.6,0.6048,NA,9.11,1.2335
"Yang et al., 2008",Middle,95.87,33.73,4264,477.4,0.17,46.94198623,7.6,40.85,39.3,19.8,123.4,150.2,0.5838,NA,10.86,1.678
"Yang et al., 2008",Middle,96.36,33.28,4292,548,1.42,47.98598949,7.4,40.9,37.6,21.45,50.6,191.8,0.6448,NA,8.14,1.349
"Yang et al., 2008",Middle,96.57,33.21,4257,548.7,1.52,47.63020833,7.35,42.7,37.5,19.8,35.8,160.5,0.6693,NA,14.7,1.3845
"Yang et al., 2008",Middle,96.91,33.02,3901,573,2.34,46.43435981,7.4,40.4,40.95,18.7,49.7,218,0.5606,NA,7.49,1.485
"Yang et al., 2008",Middle,97.16,32.81,3900,592.6,2.79,46.33307271,7.35,38,40.75,21.15,90.2,282.2,0.7154,NA,9.25,1.621
