Researcher,Layer,Longitude/бу,Latitude/бу,Altitude/m,MAP/mm,MAT/буC,AI,pH,Sand/%,Silt/%,Clay/%,AGB/ (g m^-2),NPP/ (g C m^-2 yr^-1),NDVI,Coverage/%,SOCD/ (kg m^-2),STND/ (kg m^-2)
"Yang et al., 2008",Surface,91.07,31.5,4598,404.9,0.39,38.97016362,7.6,96.77,2.93,0.3,57.3,71.5,0.2357,NA,1.72,0.610435
"Yang et al., 2008",Surface,91.67,31.5,4674,437.5,0.38,42.14836224,7.33,94.27,4.94,0.79,19.5,154.9,0.5591,NA,1.77,1.09865
"Yang et al., 2008",Surface,90.42,31.41,4655,358.8,0.37,34.59980714,7.53,91.72,7.29,0.99,34.6,69.4,0.2158,NA,2.82,0.75174
"Yang et al., 2008",Surface,90.11,31.4,4742,331.7,0.33,32.11035818,7.37,90.12,8.73,1.15,36.9,121.2,0.4379,NA,3.16,1.10633
"Yang et al., 2008",Surface,89.31,31.97,4575,293.5,-0.32,30.32024793,7.87,77.66,18.76,3.58,14.9,66,0.1632,NA,2.48,0.5343
"Yang et al., 2008",Surface,89.99,31.12,4596,329.1,1.08,29.70216606,7.17,85.22,11.15,3.63,36.1,84,0.3486,NA,2.47,0.87696
"Yang et al., 2008",Surface,88.69,32.16,4588,278.6,-0.55,29.48148148,8,74.16,22.81,3.03,37.2,77.8,0.199,NA,2.1,0.53333
"Yang et al., 2008",Surface,88.33,32.09,4601,277.5,-0.22,28.37423313,8.2,89.93,8.07,2,20.1,135.9,0.181,NA,1.15,0.600525
"Yang et al., 2008",Surface,87.21,31.87,4540,265.8,0.39,25.58229066,7.83,76.75,21.29,1.96,15.1,44.6,0.0808,NA,1.21,0.5247
"Yang et al., 2008",Surface,87.25,31.79,4523,267.6,0.52,25.43726236,8.37,81.02,15.09,3.89,14.5,60.3,0.1647,NA,1.44,0.5247
"Yang et al., 2008",Surface,86.57,31.93,4665,254.1,0.64,23.88157895,8.6,86.94,8.46,4.6,25.3,56.7,0.1957,NA,1.17,0.407135
"Yang et al., 2008",Surface,85.99,32.08,4661,245.9,0.59,23.22001889,8.77,87.23,11.09,1.68,23.2,43.2,0.1645,NA,1.99,0.32886
"Yang et al., 2008",Surface,85.3,32.19,4560,232.1,0.51,22.08372978,8.53,95.11,4.36,0.53,52.1,51.9,0.178,NA,1.36,0.392365
"Yang et al., 2008",Surface,84.94,31.91,4785,228.7,0.67,21.4339269,8.5,97.45,2.39,0.16,41.5,45.9,0.1716,NA,2.62,0.52923
"Yang et al., 2008",Surface,85.15,31.03,4703,259.3,1.67,22.2193659,8.67,89.54,8.95,1.51,19.6,61.2,0.1513,NA,2.66,0.422115
"Yang et al., 2008",Surface,85.77,29.81,5168,315.9,2.96,24.375,7.9,79.25,18.6,2.15,40.5,36.5,0.2451,NA,0.6,0.559335
"Yang et al., 2008",Surface,100.89,36.32,3277,472.9,1.18,42.29874776,8.07,59.11,37.57,3.32,126.9,261.9,0.4873,NA,6.24,0.97489
"Yang et al., 2008",Surface,100.46,36.12,2934,434.9,1.13,39.07457323,8,92.61,6.56,0.83,36.3,167.4,0.2253,NA,1.64,0.72098
"Yang et al., 2008",Surface,100.39,36.09,2990,426.4,1.16,38.2078853,8.13,86.83,11.91,1.26,70.7,117,0.2305,NA,2.47,0.744
"Yang et al., 2008",Surface,100.22,36,3078,415.6,1.1,37.44144144,8,64.48,32.93,2.59,73.5,152.2,0.3525,NA,6.06,0.78578
"Yang et al., 2008",Surface,100.07,35.93,3231,397.5,1.13,35.71428571,7.77,52.7,43.84,3.46,121.6,211.3,0.5149,NA,7.88,0.909865
"Yang et al., 2008",Surface,100.23,35.76,3184,423.2,1.2,37.78571429,7.8,57.07,39.6,3.33,78.9,221.8,0.5078,NA,7.78,0.86247
"Yang et al., 2008",Surface,100.78,35.59,3253,488.8,1.23,43.52626892,7.53,76.6,21.58,1.82,70.1,296.8,0.5751,NA,5.33,0.88578
"Yang et al., 2008",Surface,100.93,35.35,3253,521.3,1.27,46.2555457,7.4,84.99,13.67,1.34,82,290.2,0.6205,NA,5.25,1.12793
"Yang et al., 2008",Surface,99.18,35.36,4158,367.2,0.67,34.41424555,8.03,74.99,23.09,1.92,47.6,59,0.2587,NA,3.82,0.90145
"Yang et al., 2008",Surface,99.39,35.43,4002,371.6,0.84,34.2804428,7.57,66.42,30.89,2.69,60.8,123.1,0.4604,NA,5.79,1.065045
"Yang et al., 2008",Surface,99.48,35.44,4089,380.2,0.87,34.97700092,7.93,71.67,25.89,2.44,57.4,122.2,0.5204,NA,7.41,1.2138
